2021-08-18,Point of Sale - Interac RETAIL PURCHASE 000001001245 DOLLARAMA #1149,19.84,
2021-08-18,Point of Sale - Interac RETAIL PURCHASE 123013758719 LESTERS FARM MA,24.20,
2021-08-18,Point of Sale - Interac RETAIL PURCHASE 123012733563 LESTERS FARM MA,8.00,
2021-08-18,Point of Sale - Interac RETAIL PURCHASE 000001001200 DOLLARAMA #1149,67.20,
2021-08-18,Point of Sale - Interac RETAIL PURCHASE 123010679522 STARBUCKS COFFE,4.31,
2021-08-17,Electronic Funds Transfer PREAUTHORIZED DEBIT LN # 6423378476 CIBC LOANS / PRÊT CIBC,534.61,
2021-08-17,Internet Banking E-TRANSFER 103865477245 Gingerly,65.00,
2021-08-17,Point of Sale - Interac RETAIL PURCHASE 000001570043 SOBEYS #340,168.34,
2021-08-17,Point of Sale - Interac RETAIL PURCHASE 000026303011 COJONES,97.74,
2021-08-16,Point of Sale - Interac RETAIL PURCHASE 053001001052 ULTRAMAR #773,10.35,
2021-08-16,Point of Sale - Interac RETAIL PURCHASE 000001269035 NCL RETAIL INC.,9.61,
2021-08-16,Point of Sale - Interac RETAIL PURCHASE 274954417270 SQ *CURRY DELIG,58.81,
2021-08-13,Point of Sale - Interac RETAIL PURCHASE 000029019883 ASHFORD SALES L,5.18,
2021-08-13,Point of Sale - Interac RETAIL PURCHASE 329001001006 NUIMAGE DESIGN,182.90,
2021-08-12,Automated Banking Machine ATM WITHDRAWAL CHURCHILL SQ 3F0W,60.00,
2021-08-11,Point of Sale - Interac RETAIL PURCHASE 122315093976 LESTERS FARM MA,6.65,
2021-08-11,Point of Sale - Interac RETAIL PURCHASE 122314079106 LESTERS FARM MA,36.94,
2021-08-11,Point of Sale - Interac RETAIL PURCHASE 000001001441 MARIE'S MINI MA,13.95,
2021-08-10,Electronic Funds Transfer PREAUTHORIZED DEBIT KNIGHTS OF COLUMBUS,44.40,
2021-08-10,Electronic Funds Transfer PREAUTHORIZED DEBIT KNIGHTS OF COLUMBUS,83.90,
2021-08-10,Point of Sale - Interac RETAIL PURCHASE 122217790612 WINNERS/HOMESEN,6.55,
2021-08-10,Point of Sale - Interac RETAIL PURCHASE 000001698006 NLC #033,51.49,
2021-08-10,Point of Sale - Interac RETAIL PURCHASE 000001731010 CIRCLE K / IRVI,66.43,
2021-08-10,Point of Sale - Interac RETAIL PURCHASE 000001001164 DOLLARAMA #1149,21.85,
