2021-12-31,"APPLE.COM/CA 800-676-2775, ON",97.75,,
2021-12-31,"SUN SUSHI EXPRESS (E-C MOUNT PEARL, NL",66.89,,
2021-12-30,PAYMENT THANK YOU/PAIEMEN T MERCI,,3000.00,
2021-12-29,"NINTENDO *AMERICACA 800-255-3700, BC",5.22,,
2021-12-29,"Disney PLUS Burbank, CA",13.79,,
2021-12-29,"WWW.NFMUSHROOMS.COM LIVINGSTONE S, NL",19.25,,
2021-12-29,"DOMINION BLACKMARSH ST. JOHN'S, NL",33.79,,
2021-12-29,"PC EXPRESS 0935 ST. JOHN'S, NL",147.78,,
2021-12-29,"WWW.CANADIANTIRE.CA 8667467287, ON",90.10,,
2021-12-29,"GREENFARMNL MT. PEARL, NL",20.25,,
2021-12-29,"SP * MYSA SHOP ST. JOHNS, NL",125.35,,
2021-12-29,"APPLE.COM/CA 800-676-2775, ON",185.15,,
2021-12-29,"APPLE.COM/CA 800-676-2775, ON",70.00,,
2021-12-29,"PC EXPRESS 0935 ST. JOHN'S, NL",105.54,,
2021-12-29,"BACKBLAZE HTTPSWWW.BACK, CA 14.00 USD @ 1.315714",18.42,,
2021-12-24,"MODERN MASTERY HQ MODERNMASTERY, AZ 9.97 USD @ 1.317953",13.14,,
2021-12-24,"PC EXPRESS 0935 ST. JOHN'S, NL",153.26,,
2021-12-24,"NETFLIX.COM 844-5052993, BC",17.24,,
2021-12-23,"BACKBLAZE HTTPSWWW.BACK, CA .79 USD @ 1.329113",1.05,,
2021-12-23,"APPLE.COM/BILL 866-712-7753, ON",14.94,,
2021-12-23,"SUSHI SHOKUNIN ST. JOHN'S, NL",38.81,,
2021-12-23,"SUSHI SHOKUNIN ST. JOHN'S, NL",50.00,,
2021-12-22,"GREENFARMNL MT. PEARL, NL",,20.25,
2021-12-22,"INDIGO ONLINE BRAMPTON, ON",,173.87,
2021-12-22,"MASTERMIND TOYS STJOHNS N ST. JOHN'S, NL",97.67,,
2021-12-22,"CDN TIRE STORE #00333 MOUNT PEARL, NL",51.74,,
2021-12-21,"WWW.NFMUSHROOMS.COM LIVINGSTONE S, NL",19.25,,
2021-12-21,"WINNERSHOMESENSE 27006 ST JOHN'S, NL",28.74,,
2021-12-21,"RW & CO. #2255 ST. JOHNS, NL",25.22,,
2021-12-21,"BR FACTORY CA 4202 ST JOHNS, NL",135.09,,
2021-12-21,"GREENFARMNL MT. PEARL, NL",20.25,,
2021-12-20,"LESTERS FARM MARKET IN ST.JOHN'S, NL",15.15,,
